Id,Name,Country,City,Address,Latitude,Longitude
1,Marriott Hotels Resorts Suites,US,Oak Brook,1401 W 22nd St,41.846704,-87.953952
6,Quality Inn and Suites Big Rapids,US,Big Rapids,1705 S State St,43.68033,-85.48333
8589934596,Homewood Suites By Hilton Albuquerque - Journal Center,US,Albuquerque,5400 San Antonio Ave,35.159203,-106.585014
17179869186,Americinn Lodge Suites Austin,US,Austin,1700 Eighth St N W,43.681877,-92.98395
25769803779,Advance Motel,US,Ironwood,663 E Cloverland Dr,46.463291,-90.161739
34359738369,Worldwide Hospitality Supply Company,US,Pompano Beach,2700 W Atlantic Blvd,26.23112,-80.15937
34359738373,Fitzgerald's Restaurant,US,Mohawk,5033,47.414925,-88.2985
42949672964,Intercontinental Hotels Resorts,US,Lynnwood,17300 Highway 99,47.841274,-122.29774
51539607554,Extended Stay America,US,San Diego,2087 Hotel Cir S,32.759003,-117.181962
60129542146,Dallas/fort Worth Marriott Solana,US,Roanoke,5 Village Cir,32.979373,-97.168512
77309411331,Quality Inn & Suites Historic St. Charles,US,Saint Charles,1425 S Fifth St,38.770776,-90.494614
85899345920,Holiday Inn Lumberton North - I-95,US,Lumberton,101 Wintergreen Dr,34.669878,-79.002934
94489280513,Super 8 Fort Collins,US,Fort Collins,409 Centro Way,40.5833,-105.00756
103079215108,Citrus Hills Lodge Hernando,US,Hernando,350 E Norvell Bryant Hwy,28.898995,-82.428738
111669149698,Body Tuneup,US,Key West,1435 Simonton St,24.54733,-81.79447
120259084289,Days Inn,US,Woodstock,990 Lake Ave,42.303436,-88.43277
128849018881,Porto Vista Hotel,US,San Diego,1835 Columbia St,32.724488,-117.167651
128849018884,Comfort Suites,US,Jackson,61 Casey Jones Ln,35.661729,-88.85688
128849018889,Comfort Inn,US,Lincoln,850/A Speedway Industrial Dr,33.57963,-86.05954
137438953476,Hudson Hotel - Book Direct,US,New York,356 W 58th St,40.768355,-73.984659
146028888066,La Quinta,US,Jupiter,34 Fishermans Way,26.934633,-80.08641
146028888071,The Booker-lewis,US,Leesville,106 E North St,31.144867,-93.26334
163208757250,Holiday Inn Express - Harrisburg East,US,Harrisburg,4021 Union Deposit Rd,40.277723,-76.821103
171798691840,Inter-hotel Orl��ans Nord,US,Portland,249 Route Nationale 20,47.939428,1.892902
180388626435,Best Western Rama Inn & Suites,US,Enterprise,1200 Highland Ave,45.423289,-117.297714
197568495620,Microtel Inn By Wyndham Southern Pines,US,Southern Pines,205 Windstar Pl,35.159924,-79.410489
206158430210,The Litchfield Inn,US,Pawleys Island,1 Norris Dr,33.470477,-79.097809
214748364803,The Westin Buckhead,US,Atlanta,3391 Peachtree Rd N E,33.848866,-84.365492
231928233984,Hampton Inn & Suites Crescent City,US,Crescent City,100 A St,41.747799,-124.203261
240518168576,Hotel Deca - A Noble House Hotel,US,Seattle,4507 Brooklyn Ave N E,47.66143,-122.31429
249108103169,Mandarin Oriental Hotel Group,US,San Francisco,222 Sansome St,37.792336,-122.40091
257698037763,Merritt House Inn,US,Monterey,386 Pacific St,36.600532,-121.895694
274877906944,Microtel of Ste Genevieve,US,Sainte Genevieve,21958 Highway 32,37.967532,-90.057002
283467841538,Super 8 Motel Fairmont,US,Fairmont,1201 Torgerson Dr,43.676471,-94.446189
292057776129,Extended Stay America - Orlando Theme Parks - Vineland Rd.,US,Orlando,5610 Vineland Rd,28.482007,-81.455546
300647710720,The Miner's Inn Motel Restaurant,US,Viburnum,Highway 49 Saint Joseph St,,
300647710725,Grandison Bed Breakfast,US,Oklahoma City,1200 N Shartel Ave,35.47999,-97.52557
309237645312,Hawthorn Suites By Wyndham Livermore Wine Country,US,Livermore,1700 N Livermore Ave,37.698349,-121.77371
317827579905,Juniper Lane Guest House,US,Friday Harbor,1312 Beaverton Valley Rd,48.540152,-123.038539
326417514497,Lakeway Resort & Spa,US,Austin,101 Lakeway Dr,30.373974,-97.98694
335007449088,Americinn Lodge & Suites Appleton,US,Appleton,3900 N Gateway Dr,44.30017,-88.37131
343597383683,Ip Casino Resort Spa,US,Biloxi,850 Bayview Ave,30.411692,-88.890249
352187318274,Raton Pass Inn,US,Raton,308 Canyon Dr,36.90992,-104.44177
360777252864,Town Country Motel,US,Osage Beach,5451 Osage Beach Pkwy,38.12717,-92.66533
369367187457,Super 8 Cloquet,US,Cloquet,121 Big Lake Rd,46.713882,-92.46476
377957122048,Econo Lodge,US,Conway,1101 Church St,33.840336,-79.06031
386547056640,Osage Village Inn,US,Osage Beach,4616 Osage Beach Pkwy,38.14468,-92.629776
386547056645,Dockers Inn,US,Branson,3060 Green Mountain Dr,36.632772,-93.272004
395136991236,Motel 6,US,Gaylord,612 Court Ave,44.55565,-94.22368
403726925825,Super 8 - Effingham,US,Effingham,1400 Thelma Keller Ave,39.14055,-88.565983
412316860416,La Quinta,US,Beaumont,5820 Walden Rd,30.03867,-94.15933
420906795009,Best Western Plus San Marcos Inn,US,Morro Bay,250 Pacific St,35.364612,-120.851159
429496729602,Country Inn and Suites By Carlson Galena,US,Galena,11334 Oldenburg Ln,42.437138,-90.448875
438086664194,Econo Lodge,US,Canton,138 Keith Dr,34.255254,-84.46426
446676598785,Stirling City Hotel,US,Stirling City,16975 Skyway,39.903822,-121.527419
455266533378,Unionport Lodge No 333 F A M,US,Bloomingdale,3451 County Road 39,40.363297,-80.84962
463856467970,Colonial Motel,US,Manistique,1119 E Lakeshore Dr,45.952175,-86.22773
472446402562,Plantation Inn,US,Shreveport,4901 Greenwood Rd,32.47119,-93.82771
489626271746,Alyssa's Motel,US,Casco,Rr 302,,
498216206336,Fairfield Inn/suites-marriott,US,Titusville,4735 Helen Hauser Blvd,28.552433,-80.853663
506806140928,"Hotel Monaco Chicago, A Kimpton Hotel",US,Chicago,225 N Wabash Ave,41.886337,-87.62626
515396075520,Econo Lodge,US,Bellingham,3750 Meridian St,48.781123,-122.485944
515396075525,Magton Inc,US,Ocean City,1001 Ocean Ave,39.27588,-74.5755
515396075526,Holiday Inn & Suites Green Bay Stadium,US,Green Bay,2785 Ramada Way,44.47606,-88.07651
541165879297,Best Western Burlington Inn,US,Burlington,770 Huffman Mill Rd,36.070038,-79.49494
549755813889,Quality Inn & Suites Hanes Mall,US,Winston Salem,2008 S Hawthorne Rd,36.07896,-80.29879
558345748483,Four Points-kansas,US,Kansas City,11832 N W Plaza Cir,39.307376,-94.684165
566935683073,Springhill Suites Columbia,US,Columbia,7055 Minstrel Way,39.176128,-76.847257
575525617666,Hilton San Diego Airport/harbor Island,US,San Diego,1960 Harbor Island Dr,32.724775,-117.209891
584115552257,Quality Inn and Suites,US,Laramie,1655 Centennial Dr,41.324506,-105.617388
601295421440,Miramar Boutique Hotel,US,Manassas,Route De La Corniche,41.679122,8.914842
618475290626,Sleep Inn,US,Millbrook,2295 Cobbs Ford Rd,32.46026,-86.38375
627065225218,La Quinta Inn and Suites Meridian,US,Meridian,1400 Roebuck Dr,32.350392,-88.691659
652835028994,Hotel Casena Dei Colli,US,Palermo,Via Villa Rosato 20 22,38.160424,13.331846
652835028999,Homestead Studio Suites,US,Duluth,3525 Breckinridge Blvd,33.951254,-84.125047
661424963586,Twelve Hotels & Residences,US,Atlanta,361 17TH Saint Atlantic Sta,33.79156,-84.398014
670014898176,Bayside Resort Hotel,US,West Yarmouth,225 Route 28,41.655436,-70.256179
687194767360,Mandarin Oriental Jakarta,US,Staten Island,Jalan Mh Thamrin,-6.195424,106.823673
695784701952,Days Inn & Suites Castle Rock,US,Castle Rock,4691 Castleton Way,39.408529,-104.866775
695784701957,Rodeway Inn,US,Gillette,2011 Rodgers Dr,44.294353,-105.529915
712964571137,Cougar Crest Lodge,US,Coeur D Alene,8917 W Hawk Ridge Rd,47.66414,-116.90273
730144440320,Polynesian Plaza,US,Honolulu,2131 Kalakaua Ave,21.281574,-157.830789
738734374912,Fiesta Inn Centro Historico,US,Bristol,Av Juarez 76 Colonel Centro,19.43517,-99.146719
747324309506,Holiday Inn Express,US,Milford,301 Old Bank Rd,39.184318,-84.267209
747324309510,Monarch Inn,US,Mariposa,5059 Highway 140,37.486574,-119.967114
755914244100,Courtyard By Marriott Rockaway Mount Arlington,US,Mount Arlington,15 Howard Blvd,40.900052,-74.634776
764504178690,Springhill Suites By Marriott South Bend/mishawaka,US,Mishawaka,5225 Edison Lakes Pkwy,41.70449,-86.18567
781684047872,Knights Inn,US,Catonsville,6422 Baltimore National Pike,39.284878,-76.758835
790273982464,Close For You,US,Carnegie,117 E Main St,40.40608,-80.08916
798863917056,Quality Inn,US,Harrison,1210 Us 62/65 North,36.26049,-93.129486
798863917061,Five Seasuns Bed & Breakfast Inn,US,Port Angeles,1006 S Lincoln St,48.110366,-123.439368
807453851652,Country Inns Suites,US,Chippewa Falls,1021 W Park Ave,44.9139,-91.40014
816043786241,Comfort Inn,US,Fort Myers,4171 Boatways Rd,26.683669,-81.796281
824633720832,Penzion Accom,US,Pasadena,Hurbanova 44,48.90024,18.051859
824633720837,Western Inn-glacier Park,US,Columbia Falls,7285 Us Hwy 2 E,48.36373,-114.15178
824633720841,Residence Inn By Marriott Tucson Williams Centre,US,Tucson,5400 E Williams Cir,32.220226,-110.8769
833223655427,Cliffrose Lodge Gardens,US,Springdale,281 Zion Park Blvd,37.196957,-112.992165
841813590021,Hotel Eug��ne En Ville,US,Celina,6 Rue Buffault,48.87503,2.34152
858993459200,Glendale Gaslight Inn,US,Glendale,5747 W Glendale Ave,33.538586,-112.182594
867583393792,Knights Inn Amarillo Airport,US,Amarillo,1803 Lakeside St,35.194703,-101.742208
876173328386,Comfort Inn & Suites,US,Joplin,3400 S Range Line Rd,37.05198,-94.47845
893353197570,Microtel Inn By Wyndham Knoxville,US,Knoxville,309 N Peters Rd,35.91483,-84.09107
901943132160,Ambassadors Inn and Suites,US,Virginia Beach,716 21st St,36.84766,-75.98443
910533066752,Super 8,US,Jasper,1287 Highway 78 W,33.84603,-87.25914
910533066757,Cliffs 7305 By Redawning,US,Princeville,3811 Edward Rd,22.226328,-159.481416
927712935936,North Country Inn B & B,US,Rangeley,2541 Main St,44.96541,-70.643174
927712935938,Americinn Lodge Suites Princeton,US,Princeton,2120 Claude Bailey Pkwy,41.368016,-89.456966
936302870531,Wallowa Lake Vacation Rentals,US,Enterprise,82240 Fish Hatchery Ln,45.417587,-117.2996
944892805121,Comfort Inn,US,Valentine,101 Main St,42.871143,-100.55091
944892805125,La Quinta Inn and Suites Hopkinsville,US,Hopkinsville,345 Griffin Bell Dr,36.81071,-87.49478
953482739714,High Desert Motel,US,Joshua Tree,61310 29 Palms Hwy,34.13495,-116.325745
962072674307,"Country Inn & Suites By Carlson, Rocky Mount, Nc",US,Rocky Mount,672 English Rd,35.979098,-77.847276
962072674310,Holiday Inn Express,US,Corydon,249 Federal Dr N W,38.233478,-86.132841
970662608900,"Palomar Washington Dc, A Kimpton Hotel",US,Washington,2121 P St N W,,
979252543488,Royal Inn,US,Lovelock,1435 Cornell Ave,40.185058,-118.470236
996432412672,Rodeway Inn,US,Newport,206 N Coast Hwy,44.63752,-124.0607
1005022347264,Manor Vail Lodge,US,Vail,595 Vail Valley Dr,39.6387,-106.368201
1005022347269,Lexington Inn,US,Hammond,46053 N Puma Dr,30.517838,-90.50095
1013612281860,Days Inn Geneva,US,Geneva,485 Hamilton St,42.8566,-77.00576
1013612281865,Ritz Hotel,US,San Francisco,216 Eddy St,37.784122,-122.41122
1030792151041,Super 8 Alamosa,US,Alamosa,2505 Main St,37.47547,-105.89536
1039382085633,La Quinta Inn Auburn Worcester,US,Auburn,446 Southbridge St,42.199763,-71.840633
1056561954819,Palm Suites,US,Atlantic Beach,602 W Fort Macon Rd,34.701386,-76.74691
1065151889409,Budget Inn,US,Herkimer,715 Mohawk St,43.018673,-74.9925
1073741824004,The Inn At Bella Vista,US,Bella Vista,101 Chelsea Rd,36.464432,-94.251779
1082331758596,Americas Best Value Inn,US,Watsonville,781 Freedom Blvd,36.91657,-121.76056
1099511627778,Hampton Inn & Suites-downtown-tutwiler,US,Birmingham,2021 Park Pl,33.520234,-86.808538
1108101562369,Whiteface Chalet,US,Wilmington,788 Springfield Rd,44.364186,-73.824065
1116691496961,Lakeview Lodge,US,Ferriday,1424 Fisherman Dr,31.61563,-91.52781
1116691496963,Americas Best Value Inn,US,Boiling Springs,125 Sloane Garden Rd,35.011314,-81.954798
1125281431554,Pullman Rail Journeys,US,Chicago,118 S Clinton St,41.880368,-87.6413
1133871366148,Calloway Inn,US,Baton Rouge,10920 Mead Rd,30.42881,-91.06002
1142461300739,Comfort Suites Shreveport,US,Shreveport,6715 Financial Cir,32.45013,-93.86207
1151051235329,Red Banks Motel,US,Fremont,E7331 Red Banks Rd,44.27578,-88.8607
1159641169920,Holiday Inn Canyon De Chelly,US,Chinle,Bia Route 7 Garcia Trading Post,36.151195,-109.547157
1168231104515,Villager Inn Motel,US,Selma,1765 Young St,36.563004,-119.613205
1176821039106,Comfort Inn Birmingham - Irondale,US,Birmingham,4965 Montevallo Rd,33.529422,-86.715389
1185410973699,Studio 6,US,Dixfield,6 Harding Ln,44.530685,-70.457016
1194000908291,Days Inn Lanham Washington Dc,US,Lanham,9023 Annapolis Road/i 495,38.96123,-76.86226
1202590842885,Homewood Suites - Mall of America,US,Minneapolis,2261 Killebrew Dr,44.85201,-93.23993
